ISO 3166-2コード,所在都道府県,避難所（公民館、学校等）,旅館・ホテル,その他（親族・知人宅等）,住宅等（公営、仮設、民間、病院含む）,所在判明市区町村数,注釈,年月日
JP-01,北海道,0,22,1010,3220,105,NA,2011-08-25
JP-02,青森県,0,9,791,1209,34,NA,2011-08-25
JP-03,岩手県,105,16,3232,4233,27,NA,2011-08-25
JP-04,宮城県,4744,1294,NA,6038,16,NA,2011-08-25
JP-05,秋田県,6,1037,887,2531,22,NA,2011-08-25
JP-06,山形県,118,508,774,11413,35,NA,2011-08-25
JP-07,福島県,780,5903,NA,6683,30,NA,2011-08-25
JP-08,茨城県,36,128,594,2477,40,NA,2011-08-25
JP-09,栃木県,2,241,984,2772,25,NA,2011-08-25
JP-10,群馬県,0,282,353,2201,32,NA,2011-08-25
JP-11,埼玉県,869,15,0,4552,56,NA,2011-08-25
JP-12,千葉県,NA,NA,3618,3618,48,NA,2011-08-25
JP-13,東京都,17,337,2319,8555,50,NA,2011-08-25
JP-14,神奈川県,8,0,0,1498,2,※,2011-08-25
JP-15,新潟県,113,660,1386,6541,31,※,2011-08-25
JP-16,富山県,0,0,108,501,13,NA,2011-08-25
JP-17,石川県,0,2,155,549,13,NA,2011-08-25
JP-18,福井県,0,16,110,507,16,NA,2011-08-25
JP-19,山梨県,0,25,341,900,22,NA,2011-08-25
JP-20,長野県,21,43,266,1218,50,NA,2011-08-25
JP-21,岐阜県,0,0,181,390,28,NA,2011-08-25
JP-22,静岡県,0,243,411,1463,33,NA,2011-08-25
JP-23,愛知県,0,0,253,1273,45,NA,2011-08-25
JP-24,三重県,0,0,43,199,13,NA,2011-08-25
JP-25,滋賀県,0,0,277,421,16,NA,2011-08-25
JP-26,京都府,0,NA,48,797,13,NA,2011-08-25
JP-27,大阪府,NA,NA,NA,1060,27,NA,2011-08-25
JP-28,兵庫県,0,0,428,1040,27,NA,2011-08-25
JP-29,奈良県,0,0,63,146,14,NA,2011-08-25
JP-30,和歌山県,0,0,52,104,13,NA,2011-08-25
JP-31,鳥取県,0,0,69,166,14,NA,2011-08-25
JP-32,島根県,0,0,26,156,10,NA,2011-08-25
JP-33,岡山県,0,0,172,418,17,NA,2011-08-25
JP-34,広島県,0,0,154,449,15,NA,2011-08-25
JP-35,山口県,0,0,108,203,13,NA,2011-08-25
JP-36,徳島県,0,0,53,132,12,NA,2011-08-25
JP-37,香川県,0,0,21,78,7,NA,2011-08-25
JP-38,愛媛県,0,0,154,258,11,NA,2011-08-25
JP-39,高知県,0,0,79,133,16,NA,2011-08-25
JP-40,福岡県,0,4,216,660,36,NA,2011-08-25
JP-41,佐賀県,0,0,79,321,13,NA,2011-08-25
JP-42,長崎県,0,0,72,179,16,NA,2011-08-25
JP-43,熊本県,0,0,98,229,25,NA,2011-08-25
JP-44,大分県,0,0,137,377,16,NA,2011-08-25
JP-45,宮崎県,0,0,83,169,11,NA,2011-08-25
JP-46,鹿児島県,0,0,126,272,25,NA,2011-08-25
JP-47,沖縄県,0,29,76,636,21,NA,2011-08-25
