ISO 3166-2コード,所在都道府県,避難所（公民館、学校等）,旅館・ホテル,その他（親族・知人宅等）,住宅等（公営、仮設、民間、病院含む）,所在判明市区町村数,注釈,年月日
JP-01,北海道,0,0,517,2281,89,NA,2013-09-12
JP-02,青森県,0,0,438,387,23,NA,2013-09-12
JP-03,岩手県,0,0,336,37034,29,※1,2013-09-12
JP-04,宮城県,0,0,1076,95254,35,※1,2013-09-12
JP-05,秋田県,0,0,474,664,20,NA,2013-09-12
JP-06,山形県,0,0,546,6779,33,NA,2013-09-12
JP-07,福島県,0,0,NA,91392,47,※1,2013-09-12
JP-08,茨城県,0,0,609,4514,42,NA,2013-09-12
JP-09,栃木県,0,0,568,2512,25,NA,2013-09-12
JP-10,群馬県,0,0,216,1387,27,NA,2013-09-12
JP-11,埼玉県,99,0,0,3123,56,NA,2013-09-12
JP-12,千葉県,0,NA,4031,NA,45,NA,2013-09-12
JP-13,東京都,0,0,2213,6584,56,NA,2013-09-12
JP-14,神奈川県,0,0,0,2502,24,※1,2013-09-12
JP-15,新潟県,0,0,236,4786,28,※1,2013-09-12
JP-16,富山県,0,0,63,225,10,NA,2013-09-12
JP-17,石川県,0,0,64,350,11,NA,2013-09-12
JP-18,福井県,0,0,49,228,14,NA,2013-09-12
JP-19,山梨県,0,0,151,648,21,NA,2013-09-12
JP-20,長野県,0,0,145,1061,43,NA,2013-09-12
JP-21,岐阜県,0,0,115,198,26,NA,2013-09-12
JP-22,静岡県,0,0,288,796,33,NA,2013-09-12
JP-23,愛知県,0,0,190,1040,45,NA,2013-09-12
JP-24,三重県,0,0,95,402,15,NA,2013-09-12
JP-25,滋賀県,0,0,206,111,14,NA,2013-09-12
JP-26,京都府,0,0,305,654,16,NA,2013-09-12
JP-27,大阪府,0,0,297,826,31,NA,2013-09-12
JP-28,兵庫県,0,0,274,683,26,NA,2013-09-12
JP-29,奈良県,0,0,91,79,18,NA,2013-09-12
JP-30,和歌山県,0,0,37,64,12,NA,2013-09-12
JP-31,鳥取県,0,0,50,133,12,NA,2013-09-12
JP-32,島根県,0,0,24,103,13,NA,2013-09-12
JP-33,岡山県,0,0,310,701,19,NA,2013-09-12
JP-34,広島県,0,0,198,313,15,NA,2013-09-12
JP-35,山口県,0,0,43,105,13,NA,2013-09-12
JP-36,徳島県,0,0,31,42,12,NA,2013-09-12
JP-37,香川県,0,0,13,85,7,NA,2013-09-12
JP-38,愛媛県,0,0,142,43,11,NA,2013-09-12
JP-39,高知県,0,0,63,61,15,NA,2013-09-12
JP-40,福岡県,0,0,142,583,37,NA,2013-09-12
JP-41,佐賀県,0,0,24,196,9,NA,2013-09-12
JP-42,長崎県,0,0,53,91,10,NA,2013-09-12
JP-43,熊本県,0,0,107,291,20,NA,2013-09-12
JP-44,大分県,0,0,46,221,15,NA,2013-09-12
JP-45,宮崎県,0,0,88,183,11,NA,2013-09-12
JP-46,鹿児島県,0,0,79,160,27,NA,2013-09-12
JP-47,沖縄県,0,0,54,935,30,NA,2013-09-12
