ISO 3166-2コード,所在都道府県,避難所（公民館、学校等）,旅館・ホテル,その他（親族・知人宅等）,住宅等（公営、仮設、民間、病院含む）,所在判明市区町村数,注釈,年月日
JP-01,北海道,0,0,582,2420,95,NA,2012-08-02
JP-02,青森県,0,0,536,749,25,NA,2012-08-02
JP-03,岩手県,0,0,709,41904,27,※1,2012-08-02
JP-04,宮城県,0,0,926,126466,34,※1,2012-08-02
JP-05,秋田県,0,0,490,872,20,NA,2012-08-02
JP-06,山形県,0,0,694,11403,34,NA,2012-08-02
JP-07,福島県,0,0,NA,100177,47,※1,2012-08-02
JP-08,茨城県,0,0,603,5663,42,NA,2012-08-02
JP-09,栃木県,0,0,858,2108,25,NA,2012-08-02
JP-10,群馬県,0,0,243,1670,28,NA,2012-08-02
JP-11,埼玉県,214,0,0,4185,56,NA,2012-08-02
JP-12,千葉県,0,NA,3874,NA,47,NA,2012-08-02
JP-13,東京都,0,0,2401,7047,55,NA,2012-08-02
JP-14,神奈川県,0,0,0,2978,25,※1,2012-08-02
JP-15,新潟県,0,0,395,6268,30,※1,2012-08-02
JP-16,富山県,0,0,74,261,10,NA,2012-08-02
JP-17,石川県,0,0,109,386,11,NA,2012-08-02
JP-18,福井県,0,0,70,340,16,NA,2012-08-02
JP-19,山梨県,0,0,259,586,21,NA,2012-08-02
JP-20,長野県,0,0,139,1253,45,NA,2012-08-02
JP-21,岐阜県,0,0,198,211,29,NA,2012-08-02
JP-22,静岡県,0,0,391,955,32,NA,2012-08-02
JP-23,愛知県,0,0,223,1025,46,NA,2012-08-02
JP-24,三重県,0,0,94,406,18,NA,2012-08-02
JP-25,滋賀県,0,0,247,120,16,NA,2012-08-02
JP-26,京都府,0,NA,242,781,19,NA,2012-08-02
JP-27,大阪府,0,0,298,976,31,NA,2012-08-02
JP-28,兵庫県,0,0,368,705,27,NA,2012-08-02
JP-29,奈良県,0,0,65,104,18,NA,2012-08-02
JP-30,和歌山県,0,0,39,87,14,NA,2012-08-02
JP-31,鳥取県,0,0,57,135,14,NA,2012-08-02
JP-32,島根県,0,0,22,120,12,NA,2012-08-02
JP-33,岡山県,0,0,246,588,19,NA,2012-08-02
JP-34,広島県,0,0,189,381,16,NA,2012-08-02
JP-35,山口県,0,0,68,118,13,NA,2012-08-02
JP-36,徳島県,0,0,37,50,12,NA,2012-08-02
JP-37,香川県,0,0,20,89,10,NA,2012-08-02
JP-38,愛媛県,0,0,141,60,12,NA,2012-08-02
JP-39,高知県,0,0,79,66,15,NA,2012-08-02
JP-40,福岡県,0,0,170,596,37,NA,2012-08-02
JP-41,佐賀県,0,0,41,246,11,NA,2012-08-02
JP-42,長崎県,0,0,53,105,12,NA,2012-08-02
JP-43,熊本県,0,0,112,229,23,NA,2012-08-02
JP-44,大分県,0,0,85,263,16,NA,2012-08-02
JP-45,宮崎県,0,0,85,168,11,NA,2012-08-02
JP-46,鹿児島県,0,0,98,169,26,NA,2012-08-02
JP-47,沖縄県,0,1,73,927,26,NA,2012-08-02
