ISO 3166-2コード,所在都道府県,避難所（公民館、学校等）,旅館・ホテル,その他（親族・知人宅等）,住宅等（公営、仮設、民間、病院含む）,所在判明市区町村数,注釈,年月日
JP-01,北海道,0,1,919,2091,100,NA,2011-12-01
JP-02,青森県,0,0,581,517,26,NA,2011-12-01
JP-03,岩手県,0,0,882,43071,27,※1,2011-12-01
JP-04,宮城県,16,15,175,122351,35,※1,2011-12-01
JP-05,秋田県,0,4,728,843,20,NA,2011-12-01
JP-06,山形県,0,87,658,13025,34,NA,2011-12-01
JP-07,福島県,19,37,NA,95144,47,※1,2011-12-01
JP-08,茨城県,0,10,628,2530,39,NA,2011-12-01
JP-09,栃木県,0,9,920,1725,25,NA,2011-12-01
JP-10,群馬県,0,0,309,1748,28,NA,2011-12-01
JP-11,埼玉県,662,4,0,4250,56,NA,2011-12-01
JP-12,千葉県,0,NA,3671,NA,46,NA,2011-12-01
JP-13,東京都,7,262,2444,6260,55,NA,2011-12-01
JP-14,神奈川県,0,0,0,2407,2,※1,2011-12-01
JP-15,新潟県,0,3,448,6641,30,※1,2011-12-01
JP-16,富山県,0,0,105,314,11,NA,2011-12-01
JP-17,石川県,0,1,123,413,13,NA,2011-12-01
JP-18,福井県,0,20,93,377,16,NA,2011-12-01
JP-19,山梨県,0,0,281,537,21,NA,2011-12-01
JP-20,長野県,0,0,218,933,47,NA,2011-12-01
JP-21,岐阜県,0,0,185,234,29,NA,2011-12-01
JP-22,静岡県,0,16,467,974,33,NA,2011-12-01
JP-23,愛知県,0,0,252,996,46,NA,2011-12-01
JP-24,三重県,0,0,98,343,16,NA,2011-12-01
JP-25,滋賀県,0,0,263,132,16,NA,2011-12-01
JP-26,京都府,0,NA,242,802,18,NA,2011-12-01
JP-27,大阪府,0,0,294,1144,34,NA,2011-12-01
JP-28,兵庫県,0,0,414,651,27,NA,2011-12-01
JP-29,奈良県,0,0,67,90,17,NA,2011-12-01
JP-30,和歌山県,0,0,46,74,14,NA,2011-12-01
JP-31,鳥取県,0,0,43,130,15,NA,2011-12-01
JP-32,島根県,0,0,20,129,11,NA,2011-12-01
JP-33,岡山県,0,0,161,373,18,NA,2011-12-01
JP-34,広島県,0,0,176,325,13,NA,2011-12-01
JP-35,山口県,0,0,95,97,11,NA,2011-12-01
JP-36,徳島県,0,0,72,89,14,NA,2011-12-01
JP-37,香川県,0,0,27,63,8,NA,2011-12-01
JP-38,愛媛県,0,0,175,91,12,NA,2011-12-01
JP-39,高知県,0,0,80,53,15,NA,2011-12-01
JP-40,福岡県,0,0,221,491,37,NA,2011-12-01
JP-41,佐賀県,0,0,64,243,11,NA,2011-12-01
JP-42,長崎県,0,0,77,106,14,NA,2011-12-01
JP-43,熊本県,0,0,112,166,25,NA,2011-12-01
JP-44,大分県,0,0,111,256,15,NA,2011-12-01
JP-45,宮崎県,0,0,99,149,13,NA,2011-12-01
JP-46,鹿児島県,0,0,102,165,26,NA,2011-12-01
JP-47,沖縄県,0,25,92,712,21,NA,2011-12-01
