ISO 3166-2コード,所在都道府県,避難所（公民館、学校等）,旅館・ホテル,その他（親族・知人宅等）,住宅等（公営、仮設、民間、病院含む）,所在判明市区町村数,注釈,年月日
JP-01,北海道,0,0,560,2387,91,NA,2013-03-07
JP-02,青森県,0,0,513,636,24,NA,2013-03-07
JP-03,岩手県,0,0,342,39962,29,※1,2013-03-07
JP-04,宮城県,0,0,1035,107322,35,※1,2013-03-07
JP-05,秋田県,0,0,488,793,20,NA,2013-03-07
JP-06,山形県,0,0,570,9412,34,NA,2013-03-07
JP-07,福島県,0,0,NA,97072,47,※1,2013-03-07
JP-08,茨城県,0,0,564,4839,42,NA,2013-03-07
JP-09,栃木県,0,0,501,2600,25,NA,2013-03-07
JP-10,群馬県,0,0,214,1556,28,NA,2013-03-07
JP-11,埼玉県,132,0,0,3857,56,NA,2013-03-07
JP-12,千葉県,0,NA,3993,NA,46,NA,2013-03-07
JP-13,東京都,0,0,2189,6848,55,NA,2013-03-07
JP-14,神奈川県,0,0,0,2719,25,※1,2013-03-07
JP-15,新潟県,0,0,287,5618,28,※1,2013-03-07
JP-16,富山県,0,0,73,233,10,NA,2013-03-07
JP-17,石川県,0,0,108,366,11,NA,2013-03-07
JP-18,福井県,0,0,69,256,15,NA,2013-03-07
JP-19,山梨県,0,0,159,667,21,NA,2013-03-07
JP-20,長野県,0,0,147,1136,46,NA,2013-03-07
JP-21,岐阜県,0,0,134,206,28,NA,2013-03-07
JP-22,静岡県,0,0,301,857,33,NA,2013-03-07
JP-23,愛知県,0,0,210,1032,46,NA,2013-03-07
JP-24,三重県,0,0,87,421,17,NA,2013-03-07
JP-25,滋賀県,0,0,223,124,15,NA,2013-03-07
JP-26,京都府,0,0,270,738,16,NA,2013-03-07
JP-27,大阪府,0,0,297,879,31,NA,2013-03-07
JP-28,兵庫県,0,0,310,726,28,NA,2013-03-07
JP-29,奈良県,0,0,90,96,18,NA,2013-03-07
JP-30,和歌山県,0,0,39,76,13,NA,2013-03-07
JP-31,鳥取県,0,0,53,152,13,NA,2013-03-07
JP-32,島根県,0,0,24,109,13,NA,2013-03-07
JP-33,岡山県,0,0,277,643,19,NA,2013-03-07
JP-34,広島県,0,0,221,355,15,NA,2013-03-07
JP-35,山口県,0,0,51,112,13,NA,2013-03-07
JP-36,徳島県,0,0,37,51,12,NA,2013-03-07
JP-37,香川県,0,0,13,87,8,NA,2013-03-07
JP-38,愛媛県,0,0,146,56,12,NA,2013-03-07
JP-39,高知県,0,0,67,59,15,NA,2013-03-07
JP-40,福岡県,0,0,157,588,37,NA,2013-03-07
JP-41,佐賀県,0,0,41,230,10,NA,2013-03-07
JP-42,長崎県,0,0,53,97,12,NA,2013-03-07
JP-43,熊本県,0,0,106,288,22,NA,2013-03-07
JP-44,大分県,0,0,56,273,16,NA,2013-03-07
JP-45,宮崎県,0,0,85,177,10,NA,2013-03-07
JP-46,鹿児島県,0,0,99,174,27,NA,2013-03-07
JP-47,沖縄県,0,0,80,973,28,NA,2013-03-07
