ISO 3166-2コード,所在都道府県,住宅等市区町村数（公営、応急仮設、民間賃貸等）,親族・知人宅等,病院等,所在判明市区町村数,注釈,年月日
JP-01,北海道,2055,518,2,82,NA,2014-12-11
JP-02,青森県,246,326,6,21,NA,2014-12-11
JP-03,岩手県,29928,356,5,29,※1,2014-12-11
JP-04,宮城県,72637,1154,5,35,※1,2014-12-11
JP-05,秋田県,563,442,0,20,NA,2014-12-11
JP-06,山形県,3894,599,44,30,NA,2014-12-11
JP-07,福島県,72786,2654,NA,46,※2 ※1,2014-12-11
JP-08,茨城県,3475,750,40,42,NA,2014-12-11
JP-09,栃木県,2167,698,93,25,NA,2014-12-11
JP-10,群馬県,988,274,129,25,NA,2014-12-11
JP-11,埼玉県,4045,1572,33,57,NA,2014-12-11
JP-12,千葉県,1888,1596,32,46,NA,2014-12-11
JP-13,東京都,5787,1736,30,56,NA,2014-12-11
JP-14,神奈川県,2063,0,0,24,※1,2014-12-11
JP-15,新潟県,3890,162,61,28,NA,2014-12-11
JP-16,富山県,189,58,3,10,NA,2014-12-11
JP-17,石川県,278,52,4,11,NA,2014-12-11
JP-18,福井県,208,40,0,12,NA,2014-12-11
JP-19,山梨県,602,106,1,21,NA,2014-12-11
JP-20,長野県,903,170,0,41,NA,2014-12-11
JP-21,岐阜県,204,105,0,25,NA,2014-12-11
JP-22,静岡県,672,266,4,30,NA,2014-12-11
JP-23,愛知県,1006,150,0,43,NA,2014-12-11
JP-24,三重県,364,99,0,15,NA,2014-12-11
JP-25,滋賀県,154,81,0,14,NA,2014-12-11
JP-26,京都府,484,333,0,15,NA,2014-12-11
JP-27,大阪府,677,185,0,30,NA,2014-12-11
JP-28,兵庫県,622,273,0,27,NA,2014-12-11
JP-29,奈良県,77,83,0,18,NA,2014-12-11
JP-30,和歌山県,63,32,0,12,NA,2014-12-11
JP-31,鳥取県,121,51,0,12,NA,2014-12-11
JP-32,島根県,69,23,3,11,NA,2014-12-11
JP-33,岡山県,754,366,0,18,NA,2014-12-11
JP-34,広島県,263,187,1,15,NA,2014-12-11
JP-35,山口県,85,41,0,10,NA,2014-12-11
JP-36,徳島県,36,30,0,12,NA,2014-12-11
JP-37,香川県,75,16,0,7,NA,2014-12-11
JP-38,愛媛県,41,139,2,11,NA,2014-12-11
JP-39,高知県,49,43,0,12,NA,2014-12-11
JP-40,福岡県,546,151,0,39,NA,2014-12-11
JP-41,佐賀県,151,22,0,9,NA,2014-12-11
JP-42,長崎県,92,35,0,10,NA,2014-12-11
JP-43,熊本県,275,88,0,18,NA,2014-12-11
JP-44,大分県,197,27,1,15,NA,2014-12-11
JP-45,宮崎県,176,56,0,11,NA,2014-12-11
JP-46,鹿児島県,139,64,1,24,NA,2014-12-11
JP-47,沖縄県,778,36,5,30,NA,2014-12-11
