ISO 3166-2コード,所在都道府県,避難所（公民館、学校等）,旅館・ホテル,その他（親族・知人宅等）,住宅等（公営、仮設、民間、病院含む）,所在判明市区町村数,注釈,年月日
JP-01,北海道,0,0,523,2774,89,NA,2013-11-14
JP-02,青森県,0,0,423,807,23,NA,2013-11-14
JP-03,岩手県,0,0,345,36348,29,※1,2013-11-14
JP-04,宮城県,0,0,1077,93675,35,※1,2013-11-14
JP-05,秋田県,0,0,469,1117,20,NA,2013-11-14
JP-06,山形県,0,0,564,6518,33,NA,2013-11-14
JP-07,福島県,0,0,NA,88654,47,※1,2013-11-14
JP-08,茨城県,0,0,578,5008,42,NA,2013-11-14
JP-09,栃木県,0,0,576,3040,25,NA,2013-11-14
JP-10,群馬県,0,0,237,1586,27,NA,2013-11-14
JP-11,埼玉県,15,0,0,3092,56,NA,2013-11-14
JP-12,千葉県,0,0,3456,4026,45,NA,2013-11-14
JP-13,東京都,0,0,2023,8355,56,NA,2013-11-14
JP-14,神奈川県,0,0,0,2450,24,※1,2013-11-14
JP-15,新潟県,0,0,245,4898,28,※1,2013-11-14
JP-16,富山県,0,0,63,287,10,NA,2013-11-14
JP-17,石川県,0,0,64,411,11,NA,2013-11-14
JP-18,福井県,0,0,47,272,14,NA,2013-11-14
JP-19,山梨県,0,0,147,796,21,NA,2013-11-14
JP-20,長野県,0,0,145,1187,42,NA,2013-11-14
JP-21,岐阜県,0,0,110,307,25,NA,2013-11-14
JP-22,静岡県,0,0,290,1099,32,NA,2013-11-14
JP-23,愛知県,0,0,192,1229,45,NA,2013-11-14
JP-24,三重県,0,0,93,488,15,NA,2013-11-14
JP-25,滋賀県,0,0,208,314,14,NA,2013-11-14
JP-26,京都府,0,0,315,966,16,NA,2013-11-14
JP-27,大阪府,0,0,185,1006,30,NA,2013-11-14
JP-28,兵庫県,0,0,267,949,26,NA,2013-11-14
JP-29,奈良県,0,0,91,168,18,NA,2013-11-14
JP-30,和歌山県,0,0,37,101,12,NA,2013-11-14
JP-31,鳥取県,0,0,50,184,12,NA,2013-11-14
JP-32,島根県,0,0,24,126,13,NA,2013-11-14
JP-33,岡山県,0,0,306,1013,19,NA,2013-11-14
JP-34,広島県,0,0,198,507,15,NA,2013-11-14
JP-35,山口県,0,0,44,152,13,NA,2013-11-14
JP-36,徳島県,0,0,31,74,12,NA,2013-11-14
JP-37,香川県,0,0,13,99,7,NA,2013-11-14
JP-38,愛媛県,0,0,139,185,11,NA,2013-11-14
JP-39,高知県,0,0,63,124,15,NA,2013-11-14
JP-40,福岡県,0,0,137,718,37,NA,2013-11-14
JP-41,佐賀県,0,0,24,216,9,NA,2013-11-14
JP-42,長崎県,0,0,53,145,10,NA,2013-11-14
JP-43,熊本県,0,0,107,398,20,NA,2013-11-14
JP-44,大分県,0,0,46,261,15,NA,2013-11-14
JP-45,宮崎県,0,0,78,262,11,NA,2013-11-14
JP-46,鹿児島県,0,0,75,232,26,NA,2013-11-14
JP-47,沖縄県,0,0,53,985,30,NA,2013-11-14
