ISO 3166-2コード,所在都道府県,避難所（公民館、学校等）,旅館・ホテル,その他（親族・知人宅等）,住宅等（公営、仮設、民間、病院含む）,所在判明市区町村数,注釈,年月日
JP-01,北海道,0,0,536,2861,91,NA,2013-05-09
JP-02,青森県,0,0,490,951,24,NA,2013-05-09
JP-03,岩手県,0,0,328,39382,28,※1,2013-05-09
JP-04,宮城県,0,0,1055,104438,35,※1,2013-05-09
JP-05,秋田県,0,0,478,1224,20,NA,2013-05-09
JP-06,山形県,0,0,548,9310,34,NA,2013-05-09
JP-07,福島県,0,0,NA,94876,47,※1,2013-05-09
JP-08,茨城県,0,0,568,5348,42,NA,2013-05-09
JP-09,栃木県,0,0,541,3067,25,NA,2013-05-09
JP-10,群馬県,0,0,215,1697,28,NA,2013-05-09
JP-11,埼玉県,123,0,0,3641,56,NA,2013-05-09
JP-12,千葉県,0,NA,4015,4015,45,NA,2013-05-09
JP-13,東京都,0,0,2233,8960,56,NA,2013-05-09
JP-14,神奈川県,0,0,0,2626,24,※1,2013-05-09
JP-15,新潟県,0,0,246,5324,28,※1,2013-05-09
JP-16,富山県,0,0,66,296,10,NA,2013-05-09
JP-17,石川県,0,0,69,449,11,NA,2013-05-09
JP-18,福井県,0,0,67,298,14,NA,2013-05-09
JP-19,山梨県,0,0,155,793,21,NA,2013-05-09
JP-20,長野県,0,0,149,1243,45,NA,2013-05-09
JP-21,岐阜県,0,0,125,318,27,NA,2013-05-09
JP-22,静岡県,0,0,292,1115,33,NA,2013-05-09
JP-23,愛知県,0,0,205,1248,46,NA,2013-05-09
JP-24,三重県,0,0,99,502,17,NA,2013-05-09
JP-25,滋賀県,0,0,228,350,15,NA,2013-05-09
JP-26,京都府,0,0,284,990,16,NA,2013-05-09
JP-27,大阪府,0,0,297,1151,31,NA,2013-05-09
JP-28,兵庫県,0,0,284,1002,27,NA,2013-05-09
JP-29,奈良県,0,0,90,173,18,NA,2013-05-09
JP-30,和歌山県,0,0,37,103,11,NA,2013-05-09
JP-31,鳥取県,0,0,48,196,12,NA,2013-05-09
JP-32,島根県,0,0,24,131,13,NA,2013-05-09
JP-33,岡山県,0,0,285,948,19,NA,2013-05-09
JP-34,広島県,0,0,209,555,15,NA,2013-05-09
JP-35,山口県,0,0,48,158,14,NA,2013-05-09
JP-36,徳島県,0,0,33,85,11,NA,2013-05-09
JP-37,香川県,0,0,12,97,7,NA,2013-05-09
JP-38,愛媛県,0,0,142,191,11,NA,2013-05-09
JP-39,高知県,0,0,66,130,15,NA,2013-05-09
JP-40,福岡県,0,0,149,731,37,NA,2013-05-09
JP-41,佐賀県,0,0,31,248,9,NA,2013-05-09
JP-42,長崎県,0,0,51,144,11,NA,2013-05-09
JP-43,熊本県,0,0,107,397,20,NA,2013-05-09
JP-44,大分県,0,0,45,291,15,NA,2013-05-09
JP-45,宮崎県,0,0,82,267,10,NA,2013-05-09
JP-46,鹿児島県,0,0,83,245,26,NA,2013-05-09
JP-47,沖縄県,0,0,69,1006,30,NA,2013-05-09
