ISO 3166-2コード,所在都道府県,避難所（公民館、学校等）,旅館・ホテル,その他（親族・知人宅等）,住宅等（公営、仮設、民間、病院含む）,所在判明市区町村数,注釈,年月日
JP-01,北海道,0,0,516,2813,90,NA,2013-08-12
JP-02,青森県,0,0,463,858,24,NA,2013-08-12
JP-03,岩手県,0,0,336,37852,29,※1,2013-08-12
JP-04,宮城県,0,0,1074,97715,35,※1,2013-08-12
JP-05,秋田県,0,0,476,1151,20,NA,2013-08-12
JP-06,山形県,0,0,555,7974,33,NA,2013-08-12
JP-07,福島県,0,0,NA,91998,47,※1,2013-08-12
JP-08,茨城県,0,0,610,5223,42,NA,2013-08-12
JP-09,栃木県,0,0,565,3082,25,NA,2013-08-12
JP-10,群馬県,0,0,215,1606,27,NA,2013-08-12
JP-11,埼玉県,105,0,0,3342,56,NA,2013-08-12
JP-12,千葉県,0,NA,4026,4026,45,NA,2013-08-12
JP-13,東京都,0,0,2219,8828,56,NA,2013-08-12
JP-14,神奈川県,0,0,0,2515,24,※1,2013-08-12
JP-15,新潟県,0,0,235,5080,28,※1,2013-08-12
JP-16,富山県,0,0,63,290,10,NA,2013-08-12
JP-17,石川県,0,0,64,435,11,NA,2013-08-12
JP-18,福井県,0,0,49,277,14,NA,2013-08-12
JP-19,山梨県,0,0,151,795,21,NA,2013-08-12
JP-20,長野県,0,0,137,1210,43,NA,2013-08-12
JP-21,岐阜県,0,0,119,315,27,NA,2013-08-12
JP-22,静岡県,0,0,289,1086,33,NA,2013-08-12
JP-23,愛知県,0,0,193,1239,46,NA,2013-08-12
JP-24,三重県,0,0,97,500,17,NA,2013-08-12
JP-25,滋賀県,0,0,208,322,14,NA,2013-08-12
JP-26,京都府,0,0,293,954,16,NA,2013-08-12
JP-27,大阪府,0,0,297,1123,31,NA,2013-08-12
JP-28,兵庫県,0,0,278,972,27,NA,2013-08-12
JP-29,奈良県,0,0,91,174,18,NA,2013-08-12
JP-30,和歌山県,0,0,37,101,11,NA,2013-08-12
JP-31,鳥取県,0,0,50,183,12,NA,2013-08-12
JP-32,島根県,0,0,24,127,13,NA,2013-08-12
JP-33,岡山県,0,0,303,998,19,NA,2013-08-12
JP-34,広島県,0,0,198,523,15,NA,2013-08-12
JP-35,山口県,0,0,48,158,14,NA,2013-08-12
JP-36,徳島県,0,0,37,76,12,NA,2013-08-12
JP-37,香川県,0,0,13,98,7,NA,2013-08-12
JP-38,愛媛県,0,0,142,189,11,NA,2013-08-12
JP-39,高知県,0,0,63,124,14,NA,2013-08-12
JP-40,福岡県,0,0,143,726,37,NA,2013-08-12
JP-41,佐賀県,0,0,24,227,9,NA,2013-08-12
JP-42,長崎県,0,0,53,144,10,NA,2013-08-12
JP-43,熊本県,0,0,107,401,20,NA,2013-08-12
JP-44,大分県,0,0,46,272,15,NA,2013-08-12
JP-45,宮崎県,0,0,90,272,11,NA,2013-08-12
JP-46,鹿児島県,0,0,83,244,27,NA,2013-08-12
JP-47,沖縄県,0,0,61,993,30,NA,2013-08-12
